gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,Passed
female,Kelompok Sosial Ekonomi 2,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,72,72,74,72.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Selesai Ikut Bimbel,69,90,88,82.33333333333333,1
female,Kelompok Sosial Ekonomi 2,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,90,95,93,92.66666666666667,1
male,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,47,57,44,49.333333333333336,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,76,78,75,76.33333333333333,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,71,83,78,77.33333333333333,1
female,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Selesai Ikut Bimbel,88,95,92,91.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Tidak Ikut Bimbel,40,43,39,40.666666666666664,0
male,Kelompok Sosial Ekonomi 4,high school,Subsidi Sekolah,Selesai Ikut Bimbel,64,64,67,65.0,1
female,Kelompok Sosial Ekonomi 2,high school,Subsidi Sekolah,Tidak Ikut Bimbel,38,60,50,49.333333333333336,0
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,58,54,52,54.666666666666664,0
male,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,40,52,43,45.0,0
female,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Tidak Ikut Bimbel,65,81,73,73.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some college,Bayar Sendiri,Selesai Ikut Bimbel,78,72,70,73.33333333333333,1
female,Kelompok Sosial Ekonomi 1 (Rendah),master's degree,Bayar Sendiri,Tidak Ikut Bimbel,50,53,58,53.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,69,75,78,74.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,88,89,86,87.66666666666667,1
female,Kelompok Sosial Ekonomi 2,some high school,Subsidi Sekolah,Tidak Ikut Bimbel,18,32,28,26.0,0
male,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,46,42,46,44.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,54,58,61,57.666666666666664,0
male,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,66,69,63,66.0,1
female,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Selesai Ikut Bimbel,65,75,70,70.0,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,44,54,53,50.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,69,73,73,71.66666666666667,1
male,Kelompok Sosial Ekonomi 4,bachelor's degree,Subsidi Sekolah,Selesai Ikut Bimbel,74,71,80,75.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),master's degree,Subsidi Sekolah,Tidak Ikut Bimbel,73,74,72,73.0,1
male,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Tidak Ikut Bimbel,69,54,55,59.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,67,69,75,70.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,70,70,65,68.33333333333333,1
female,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,62,70,75,69.0,1
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,69,74,74,72.33333333333333,1
female,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Tidak Ikut Bimbel,63,65,61,63.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),master's degree,Subsidi Sekolah,Tidak Ikut Bimbel,56,72,65,64.33333333333333,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,40,42,38,40.0,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,97,87,82,88.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,81,81,79,80.33333333333333,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,74,81,83,79.33333333333333,1
female,Kelompok Sosial Ekonomi 4,some high school,Subsidi Sekolah,Tidak Ikut Bimbel,50,64,59,57.666666666666664,0
female,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,75,90,88,84.33333333333333,1
male,Kelompok Sosial Ekonomi 2,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,57,56,57,56.666666666666664,0
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,55,61,54,56.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,58,73,68,66.33333333333333,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,53,58,65,58.666666666666664,0
male,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Selesai Ikut Bimbel,59,65,66,63.333333333333336,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,50,56,54,53.333333333333336,0
male,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,65,54,57,58.666666666666664,0
female,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,55,65,62,60.666666666666664,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,66,71,76,71.0,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,57,74,76,69.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Selesai Ikut Bimbel,82,84,82,82.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,53,55,48,52.0,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,77,69,68,71.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,53,44,42,46.333333333333336,0
male,Kelompok Sosial Ekonomi 4,high school,Bayar Sendiri,Tidak Ikut Bimbel,88,78,75,80.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Selesai Ikut Bimbel,71,84,87,80.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,33,41,43,39.0,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,82,85,86,84.33333333333333,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,52,55,49,52.0,0
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Selesai Ikut Bimbel,58,59,58,58.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,0,17,10,9.0,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Subsidi Sekolah,Selesai Ikut Bimbel,79,74,72,75.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,39,39,34,37.333333333333336,0
male,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,62,61,55,59.333333333333336,0
